uid,title,synopsis,genre,aired,episodes,members,popularity,ranked,score,img_url,link
28999,Charlotte,"While on the surface Yuu Otosaka appears to be just another charming and intelligent teenager, he has a secret—he has the ability to slip into people's minds and fully control their body for five seconds at a time. Yuu has been using this skill for years to gain the highest grades, which allowed him to enter a prestigious high school. 
 
When the enigmatic Nao Tomori catches Yuu using his power, she coerces him and his sister Ayumi into transferring to Hoshinoumi Academy, a school for students with supernatural abilities. The student council of the school, led by Nao, is tasked with secretly tracking down adolescents who abuse their powers. Yuu is forced to join the student council and together, they face formidable challenges that bring him closer to the shocking truth that his own, seemingly incomplete ability, might be more powerful than he could have ever imagined. 
 
An original story from Jun Maeda, creator of  Angel Beats  and  Clannad ,  Charlotte  explores the supernatural lives of these teenagers and the price they must pay for being special. 
 
[Written by MAL Rewrite]","['Drama', 'School', 'Super Power']","Jul 5, 2015 to Sep 27, 2015",13.0,734250,66,742.0,7.88,https://cdn.myanimelist.net/images/anime/12/74683.jpg,https://myanimelist.net/anime/28999/Charlotte
4898,Kuroshitsuji,"Young Ciel Phantomhive is known as ""the Queen's Guard Dog,"" taking care of the many unsettling events that occur in Victorian England for Her Majesty. Aided by Sebastian Michaelis, his loyal butler with seemingly inhuman abilities, Ciel uses whatever means necessary to get the job done. But is there more to this black-clad butler than meets the eye? 
 
In Ciel's past lies a secret tragedy that enveloped him in perennial darkness—during one of his bleakest moments, he formed a contract with Sebastian, a demon, bargaining his soul in exchange for vengeance upon those who wronged him. Today, not only is Sebastian one hell of a butler, but he is also the perfect servant to carry out his master's orders—all the while anticipating the delicious meal he will eventually make of Ciel's soul. As the two work to unravel the mystery behind Ciel's chain of misfortunes, a bond forms between them that neither heaven nor hell can tear apart. 
 
[Written by MAL Rewrite]","['Action', 'Mystery', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Shounen']","Oct 3, 2008 to Mar 27, 2009",24.0,684593,71,695.0,7.91,https://cdn.myanimelist.net/images/anime/5/27013.jpg,https://myanimelist.net/anime/4898/Kuroshitsuji
15809,Hataraku Maou-sama!,"Striking fear into the hearts of mortals, the Demon Lord Satan begins to conquer the land of Ente Isla with his vast demon armies. However, while embarking on this brutal quest to take over the continent, his efforts are foiled by the hero Emilia, forcing Satan to make his swift retreat through a dimensional portal only to land in the human world. Along with his loyal general Alsiel, the demon finds himself stranded in modern-day Tokyo and vows to return and complete his subjugation of Ente Isla—that is, if they can find a way back! 
 
Powerless in a world without magic, Satan assumes the guise of a human named Sadao Maou and begins working at MgRonald's—a local fast-food restaurant—to make ends meet. He soon realizes that his goal of conquering Ente Isla is just not enough as he grows determined to climb the corporate ladder and become the ruler of Earth, one satisfied customer at a time! 
 
Whether it's part-time work, household chores, or simply trying to pay the rent on time,  Hataraku Maou-sama!  presents a hilarious view of the most mundane aspects of everyday life, all through the eyes of a hapless demon lord. 
 
[Written by MAL Rewrite]","['Comedy', 'Demons', 'Supernatural', 'Romance', 'Fantasy']","Apr 4, 2013 to Jun 27, 2013",13.0,808817,55,681.0,7.92,https://cdn.myanimelist.net/images/anime/3/50177.jpg,https://myanimelist.net/anime/15809/Hataraku_Maou-sama
22319,Tokyo Ghoul,"Tokyo has become a cruel and merciless city—a place where vicious creatures called “ghouls” exist alongside humans. The citizens of this once great metropolis live in constant fear of these bloodthirsty savages and their thirst for human flesh. However, the greatest threat these ghouls pose is their dangerous ability to masquerade as humans and blend in with society. 
 
Based on the best-selling supernatural horror manga by Sui Ishida,  Tokyo Ghoul  follows Ken Kaneki, a shy, bookish college student, who is instantly drawn to Rize Kamishiro, an avid reader like himself. However, Rize is not exactly who she seems, and this unfortunate meeting pushes Kaneki into the dark depths of the ghouls' inhuman world. In a twist of fate, Kaneki is saved by the enigmatic waitress Touka Kirishima, and thus begins his new, secret life as a half-ghoul/half-human who must find a way to integrate into both societies. 
 
[Written by MAL Rewrite]","['Action', 'Mystery', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Seinen']","Jul 4, 2014 to Sep 19, 2014",12.0,1346036,6,674.0,7.93,https://cdn.myanimelist.net/images/anime/5/64449.jpg,https://myanimelist.net/anime/22319/Tokyo_Ghoul
20,Naruto,"Moments prior to Naruto Uzumaki's birth, a huge demon known as the Kyuubi, the Nine-Tailed Fox, attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the Kyuubi's rampage, the leader of the village, the Fourth Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto. 
 
Now, Naruto is a hyperactive and knuckle-headed ninja still living in Konohagakure. Shunned because of the Kyuubi inside him, Naruto struggles to find his place in the village, while his burning desire to become the Hokage of Konohagakure leads him not only to some great new friends, but also some deadly foes. 
 
[Written by MAL Rewrite]","['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']","Oct 3, 2002 to Feb 8, 2007",220.0,1280914,9,670.0,7.93,https://cdn.myanimelist.net/images/anime/13/17405.jpg,https://myanimelist.net/anime/20/Naruto
6702,Fairy Tail,"In the mystical land of Fiore, magic exists as an essential part of everyday life. Countless magic guilds lie at the core of all magical activity, and serve as venues for like-minded mages to band together and take on job requests. Among them, Fairy Tail stands out from the rest as a place of strength, spirit, and family. 
 
Lucy Heartfilia is a young mage searching for celestial gate keys, and her dream is to become a full-fledged wizard by joining this famous guild. In her search, she runs into Natsu Dragneel and his partner Happy, who are on a quest to find Natsu's foster father, the dragon Igneel. 
 
Upon being tricked by a man, Lucy falls under an abduction attempt, only to be saved by Natsu. To her shock, he reveals that he is a member of Fairy Tail and invites her to join them. There, Lucy meets the guild's strange members, such as the ice wizard Gray Fullbuster and magic swordswoman Erza Scarlet. Together as a family, they battle the forces of evil, help those in need, and gain new friends, all the while enjoying the never-ending adventure that is Fairy Tail. 
 
[Written by MAL Rewrite]","['Action', 'Adventure', 'Comedy', 'Magic', 'Fantasy', 'Shounen']","Oct 12, 2009 to Mar 30, 2013",175.0,1025353,21,665.0,7.93,https://cdn.myanimelist.net/images/anime/5/18179.jpg,https://myanimelist.net/anime/6702/Fairy_Tail
3588,Soul Eater,"Death City is home to the famous Death Weapon Meister Academy, a technical academy headed by the Shinigami—Lord Death himself. Its mission: to raise ""Death Scythes"" for the Shinigami to wield against the many evils of their fantastical world. These Death Scythes, however, are not made from physical weapons; rather, they are born from human hybrids who have the ability to transform their bodies into Demon Weapons, and only after they have consumed the souls of 99 evil beings and one witch's soul. 
 
Soul Eater Evans, a Demon Scythe who only seems to care about what's cool, aims to become a Death Scythe with the help of his straight-laced wielder, or meister, Maka Albarn. The contrasting duo work and study alongside the hot headed Black☆Star and his caring weapon Tsubaki, as well as the Shinigami's own son, Death the Kid, an obsessive-compulsive dual wielder of twin pistols Patty and Liz. 
 
 Soul Eater  follows these students of Shibusen as they take on missions to collect souls and protect the city from the world's threats while working together under the snickering sun to become sounder in mind, body, and soul. 
 
[Written by MAL Rewrite]","['Action', 'Fantasy', 'Comedy', 'Supernatural', 'Shounen']","Apr 7, 2008 to Mar 30, 2009",51.0,970841,32,606.0,7.99,https://cdn.myanimelist.net/images/anime/9/7804.jpg,https://myanimelist.net/anime/3588/Soul_Eater
29803,Overlord,"The final hour of the popular virtual reality game Yggdrasil has come. However, Momonga, a powerful wizard and master of the dark guild Ainz Ooal Gown, decides to spend his last few moments in the game as the servers begin to shut down. To his surprise, despite the clock having struck midnight, Momonga is still fully conscious as his character and, moreover, the non-player characters appear to have developed personalities of their own! 
 
Confronted with this abnormal situation, Momonga commands his loyal servants to help him investigate and take control of this new world, with the hopes of figuring out what has caused this development and if there may be others in the same predicament. 
 
[Written by MAL Rewrite]","['Action', 'Adventure', 'Fantasy', 'Game', 'Magic', 'Supernatural']","Jul 7, 2015 to Sep 29, 2015",13.0,742933,65,515.0,8.05,https://cdn.myanimelist.net/images/anime/7/88019.jpg,https://myanimelist.net/anime/29803/Overlord
17265,Log Horizon,"In the blink of an eye, thirty thousand bewildered Japanese gamers are whisked from their everyday lives into the world of the popular MMORPG, Elder Tale, after the game's latest update—unable to log out. Among them is the socially awkward college student Shiroe, whose confusion and shock lasts only a moment as, a veteran of the game, he immediately sets out to explore the limits of his new reality. 
 
Shiroe must learn to live in this new world, leading others and negotiating with the NPC ""natives"" in order to bring stability to the virtual city of Akihabara. He is joined by his unfortunate friend Naotsugu, having logged in for the first time in years only to find himself trapped, and Akatsuki, a petite but fierce assassin who labels Shiroe as her master. A tale of fantasy, adventure, and politics,  Log Horizon  explores the elements of gaming through the eyes of a master strategist who attempts to make the best of a puzzling situation. 
 
[Written by MAL Rewrite]","['Action', 'Game', 'Adventure', 'Magic', 'Fantasy']","Oct 5, 2013 to Mar 22, 2014",25.0,695241,69,513.0,8.05,https://cdn.myanimelist.net/images/anime/5/84004.jpg,https://myanimelist.net/anime/17265/Log_Horizon
14813,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,"Hachiman Hikigaya is an apathetic high school student with narcissistic and semi-nihilistic tendencies. He firmly believes that joyful youth is nothing but a farce, and everyone who says otherwise is just lying to themselves.  
 
In a novel punishment for writing an essay mocking modern social relationships, Hachiman's teacher forces him to join the Volunteer Service Club, a club that aims to extend a helping hand to any student who seeks their support in achieving their goals. With the only other club member being the beautiful ice queen Yukino Yukinoshita, Hachiman finds himself on the front line of other people's problems—a place he never dreamed he would be. As Hachiman and Yukino use their wits to solve many students' problems, will Hachiman's rotten view of society prove to be a hindrance or a tool he can use to his advantage? 
 
[Written by MAL Rewrite]","['Slice of Life', 'Comedy', 'Drama', 'Romance', 'School']","Apr 5, 2013 to Jun 28, 2013",13.0,683483,74,453.0,8.1,https://cdn.myanimelist.net/images/anime/11/49459.jpg,https://myanimelist.net/anime/14813/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru
20507,Noragami,"In times of need, if you look in the right place, you just may see a strange telephone number scrawled in red. If you call this number, you will hear a young man introduce himself as the Yato God. 
 
Yato is a minor deity and a self-proclaimed ""Delivery God,"" who dreams of having millions of worshippers. Without a single shrine dedicated to his name, however, his goals are far from being realized. He spends his days doing odd jobs for five yen apiece, until his weapon partner becomes fed up with her useless master and deserts him. 
 
Just as things seem to be looking grim for the god, his fortune changes when a middle school girl, Hiyori Iki, supposedly saves Yato from a car accident, taking the hit for him. Remarkably, she survives, but the event has caused her soul to become loose and hence able to leave her body. Hiyori demands that Yato return her to normal, but upon learning that he needs a new partner to do so, reluctantly agrees to help him find one. And with Hiyori's help, Yato's luck may finally be turning around. 
 
[Written by MAL Rewrite]","['Action', 'Adventure', 'Comedy', 'Supernatural', 'Shounen']","Jan 5, 2014 to Mar 23, 2014",12.0,1125472,16,445.0,8.1,https://cdn.myanimelist.net/images/anime/9/77809.jpg,https://myanimelist.net/anime/20507/Noragami
23755,Nanatsu no Taizai,"In a world similar to the European Middle Ages, the feared yet revered Holy Knights of Britannia use immensely powerful magic to protect the region of Britannia and its kingdoms. However, a small subset of the Knights supposedly betrayed their homeland and turned their blades against their comrades in an attempt to overthrow the ruler of Liones. They were defeated by the Holy Knights, but rumors continued to persist that these legendary knights, called the ""Seven Deadly Sins,"" were still alive. Ten years later, the Holy Knights themselves staged a coup d’état, and thus became the new, tyrannical rulers of the Kingdom of Liones. 
 
Based on the best-selling manga series of the same name,  Nanatsu no Taizai  follows the adventures of Elizabeth, the third princess of the Kingdom of Liones, and her search for the Seven Deadly Sins. With their help, she endeavors to not only take back her kingdom from the Holy Knights, but to also seek justice in an unjust world. 
  
[Written by MAL Rewrite]","['Action', 'Adventure', 'Ecchi', 'Fantasy', 'Magic', 'Shounen', 'Supernatural']","Oct 5, 2014 to Mar 29, 2015",24.0,946095,38,397.0,8.15,https://cdn.myanimelist.net/images/anime/8/65409.jpg,https://myanimelist.net/anime/23755/Nanatsu_no_Taizai
12189,Hyouka,"Energy-conservative high school student Houtarou Oreki ends up with more than he bargained for when he signs up for the Classics Club at his sister's behest—especially when he realizes how deep-rooted the club's history really is. Begrudgingly, Oreki is dragged into an investigation concerning the 45-year-old mystery that surrounds the club room. 
 
Accompanied by his fellow club members, the knowledgeable Satoshi Fukube, the stern but benign Mayaka Ibara, and the ever-curious Eru Chitanda, Oreki must combat deadlines and lack of information with resourcefulness and hidden talent, in order to not only find the truth buried beneath the dust of works created years before them, but of other small side cases as well. 
 
Based on the award-winning  Koten-bu  light novel series, and directed by Yasuhiro Takemoto of  Suzumiya Haruhi no Shoushitsu ,  Hyouka  shows that normal life can be full of small mysteries, be it family history, a student film, or even the withered flowers that make up a ghost story. 
 
[Written by MAL Rewrite]","['Mystery', 'School', 'Slice of Life']","Apr 23, 2012 to Sep 17, 2012",22.0,686099,72,390.0,8.15,https://cdn.myanimelist.net/images/anime/13/50521.jpg,https://myanimelist.net/anime/12189/Hyouka
7054,Kaichou wa Maid-sama!,"Being the first female student council president isn't easy, especially when your school just transitioned from an all boys high school to a co-ed one. Aptly nicknamed ""Demon President"" by the boys for her strict disciplinary style, Misaki Ayuzawa is not afraid to use her mastery of Aikido techniques to cast judgment onto the hordes of misbehaving boys and defend the girls at Seika High School. 
 
Yet even the perfect Ayuzawa has an embarrassing secret—she works part-time as a maid at a maid café to help her struggling family pay the bills. She has managed to keep her job hidden from her fellow students and maintained her flawless image as a stellar student until one day, Takumi Usui, the most popular boy in school, walks into the maid café. He could destroy her reputation with her secret... or he could twist the student council president around his little finger and use her secret as an opportunity to get closer to her. 
 
[Written by MAL Rewrite]","['Comedy', 'Romance', 'School', 'Shoujo']","Apr 2, 2010 to Sep 24, 2010",26.0,653345,79,392.0,8.15,https://cdn.myanimelist.net/images/anime/6/25254.jpg,https://myanimelist.net/anime/7054/Kaichou_wa_Maid-sama
14513,Magi: The Labyrinth of Magic,"Dispersed around the world, there are several bizarre labyrinths hiding incredible treasures within them. These mysterious places, known as ""Dungeons,"" are said to be the work of Magi, a class of rare magicians, who also help people build their empires by guiding them to a dungeon. Djinns, supernatural beings that rule over the labyrinths, grant successful conquerors access to their immense power and choose them as potential king candidates to rule the world. 
 
Having spent life in isolation, Aladdin, a kind and young magician, is eager to explore the world upon finally leaving his home behind. He begins his journey only accompanied by his mentor Ugo—a djinn that Aladdin can summon with his flute. However, Aladdin soon becomes friends with the courageous Alibaba Saluja after causing the destruction of a local merchant's supply cart. In order to pay for the damages, Alibaba suggests that they attempt to conquer the nearest dungeon, taking the first step in an epic adventure that will decide the fate of the world itself. 
 
[Written by MAL Rewrite]","['Action', 'Adventure', 'Fantasy', 'Magic', 'Shounen']","Oct 7, 2012 to Mar 31, 2013",25.0,599813,94,378.0,8.16,https://cdn.myanimelist.net/images/anime/11/42773.jpg,https://myanimelist.net/anime/14513/Magi__The_Labyrinth_of_Magic
18679,Kill la Kill,"After the murder of her father, Ryuuko Matoi has been wandering the land in search of his killer. Following her only lead—the missing half of his invention, the Scissor Blade—she arrives at the prestigious Honnouji Academy, a high school unlike any other. The academy is ruled by the imposing and cold-hearted student council president Satsuki Kiryuuin alongside her powerful underlings, the Elite Four. In the school's brutally competitive hierarchy, Satsuki bestows upon those at the top special clothes called ""Goku Uniforms,"" which grant the wearer unique superhuman abilities.  
 
Thoroughly beaten in a fight against one of the students in uniform, Ryuuko retreats to her razed home where she stumbles across Senketsu, a rare and sentient ""Kamui,"" or God Clothes. After coming into contact with Ryuuko's blood, Senketsu awakens, latching onto her and providing her with immense power. Now, armed with Senketsu and the Scissor Blade, Ryuuko makes a stand against the Elite Four, hoping to reach Satsuki and uncover the culprit behind her father's murder once and for all.  
 
[Written by MAL Rewrite]","['Action', 'Comedy', 'Super Power', 'Ecchi', 'School']","Oct 4, 2013 to Mar 28, 2014",24.0,980779,30,375.0,8.16,https://cdn.myanimelist.net/images/anime/8/75514.jpg,https://myanimelist.net/anime/18679/Kill_la_Kill
2167,Clannad,"Tomoya Okazaki is a delinquent who finds life dull and believes he'll never amount to anything. Along with his friend Youhei Sunohara, he skips school and plans to waste his high school days away. 
 
One day while walking to school, Tomoya passes a young girl muttering quietly to herself. Without warning she exclaims ""Anpan!"" (a popular Japanese food) which catches Tomoya's attention. He soon discovers the girl's name is Nagisa Furukawa and that she exclaims things she likes in order to motivate herself. Nagisa claims they are now friends, but Tomoya walks away passing the encounter off as nothing. 
 
However, Tomoya finds he is noticing Nagisa more and more around school. Eventually he concedes and befriends her. Tomoya learns Nagisa has been held back a year due to a severe illness and that her dream is to revive the school's drama club. Claiming he has nothing better to do, he decides to help her achieve this goal along with the help of four other girls. 
 
As Tomoya spends more time with the girls, he learns more about them and their problems. As he attempts to help each girl overcome her respective obstacle, he begins to realize life isn't as dull as he once thought. 
 
[Written by MAL Rewrite]","['Comedy', 'Drama', 'Romance', 'School', 'Slice of Life', 'Supernatural']","Oct 5, 2007 to Mar 28, 2008",23.0,888734,45,365.0,8.16,https://cdn.myanimelist.net/images/anime/1804/95033.jpg,https://myanimelist.net/anime/2167/Clannad
23283,Zankyou no Terror,"Painted in red, the word ""VON"" is all that is left behind after a terrorist attack on a nuclear facility in Japan. The government is shattered by their inability to act, and the police are left frantically searching for ways to crack down the perpetrators. The public are clueless—until, six months later, a strange video makes its way onto the internet. In it, two teenage boys who identify themselves only as ""Sphinx"" directly challenge the police, threatening to cause destruction and mayhem across Tokyo. Unable to stop the mass panic quickly spreading through the city and desperate for any leads in their investigation, the police struggle to act effectively against these terrorists, with Detective Kenjirou Shibazaki caught in the middle of it all. 
 
 Zankyou no Terror  tells the story of Nine and Twelve, the two boys behind the masked figures of Sphinx. They should not exist, yet they stand strong in a world of deception and secrets while they make the city fall around them, all in the hopes of burying their own tragic truth. 
 
[Written by MAL Rewrite]","['Mystery', 'Psychological', 'Thriller']","Jul 11, 2014 to Sep 26, 2014",11.0,642866,84,363.0,8.17,https://cdn.myanimelist.net/images/anime/4/64447.jpg,https://myanimelist.net/anime/23283/Zankyou_no_Terror
